BookId,Book Name,Genre,Publication Year,URL,Writer Name,Review,Pages,Ratings,Keywords
BK001,The Book Thief,Science Fiction,1879,https://en.wikipedia.org/wiki/The_Book_Thief,J.D. Salinger,"To Kill a Mockingbird is a profound exploration of race, morality, and justice in the American South. Written by Harper Lee, the novel follows young Scout Finch and her brother Jem as they witness their father, Atticus Finch, defend a black man falsely accused of raping a white woman. The story is filled with themes of prejudice, empathy, and the loss of innocence. Lee’s portrayal of the complexities of human nature and the importance of standing up for what is right makes this novel a powerful and enduring classic. The characters are well-drawn, and the themes remain relevant in today’s society.",296,3.1,"book thief, markus zusak, liesel meminger, nazi germany, world war ii, death narrator, books, resilience"
BK002,The Picture of Dorian Gray,Dystopian,2014,https://en.wikipedia.org/wiki/The_Picture_of_Dorian_Gray,Harper Lee,"The Hobbit is a captivating fantasy novel that takes readers on a journey through the fictional world of Middle-earth. Written by J.R.R. Tolkien, it follows the adventures of Bilbo Baggins, a hobbit who is reluctantly drawn into a quest to reclaim treasure from the dragon Smaug. The novel is filled with vivid descriptions of landscapes, creatures, and mythical beings, making it an immersive read. The characters are richly developed, with Bilbo's transformation from a shy, unassuming hobbit to a courageous hero being particularly compelling. The book also explores themes of bravery, friendship, and the struggle between good and evil. Overall, The Hobbit is a timeless classic that has captivated generations of readers and continues to be a must-read for fantasy enthusiasts.",267,2.6,"the picture of dorian gray, harper lee, dystopian, picture, dorian, story, characters, themes"
BK003,The Book Thief,Romance,2006,https://en.wikipedia.org/wiki/The_Book_Thief,Charlotte Brontë,"The Secret Garden is a heartwarming novel by Frances Hodgson Burnett that tells the story of Mary Lennox, a spoiled and lonely girl who discovers a hidden, magical garden. As Mary transforms the garden, she also transforms herself and the lives of those around her. The novel is filled with themes of personal growth, friendship, and the healing power of nature. Burnett’s writing is gentle yet powerful, and the story’s message of hope and renewal resonates with readers of all ages. The Secret Garden is a classic tale of redemption and the power of kindness.",219,1.1,"book thief, markus zusak, liesel meminger, nazi germany, world war ii, death narrator, books, resilience"
BK004,Frankenstein,Mystery,1894,https://en.wikipedia.org/wiki/Frankenstein,Leo Tolstoy,"The Catcher in the Rye is a powerful coming-of-age novel that captures the struggles of adolescence. Written by J.D. Salinger, the story follows Holden Caulfield, a disillusioned teenager who feels disconnected from the world around him. The novel explores themes of alienation, identity, and the loss of innocence. Holden’s inner turmoil is conveyed with raw emotion, making it a deeply personal and relatable story for many readers. Salinger’s portrayal of the complexity of adolescence remains compelling and relevant, making the novel a touchstone for generations of young readers.",667,3.1,"frankenstein, leo tolstoy, mystery, story, characters, themes"
BK005,The Road,Mystery,1803,https://en.wikipedia.org/wiki/The_Road_(novel),George Orwell,"The Hobbit is a captivating fantasy novel that takes readers on a journey through the fictional world of Middle-earth. Written by J.R.R. Tolkien, it follows the adventures of Bilbo Baggins, a hobbit who is reluctantly drawn into a quest to reclaim treasure from the dragon Smaug. The novel is filled with vivid descriptions of landscapes, creatures, and mythical beings, making it an immersive read. The characters are richly developed, with Bilbo's transformation from a shy, unassuming hobbit to a courageous hero being particularly compelling. The book also explores themes of bravery, friendship, and the struggle between good and evil. Overall, The Hobbit is a timeless classic that has captivated generations of readers and continues to be a must-read for fantasy enthusiasts.",855,1.8,"the road, george orwell, mystery, road, story, characters, themes"
BK006,Dracula,Fantasy,1957,https://en.wikipedia.org/wiki/Dracula,Charlotte Brontë,"Pride and Prejudice is a timeless romance novel that deftly explores the intricacies of love, class, and society. Written by Jane Austen, it follows the relationship between the strong-willed Elizabeth Bennet and the aloof Mr. Darcy. The novel is filled with witty dialogue, insightful observations, and memorable characters. Austen masterfully critiques the social norms of the time, particularly regarding marriage and class, while creating a story that still resonates with readers today. Elizabeth and Darcy’s evolving relationship is at the heart of the story, making it an enduring classic of English literature.",489,3.6,"dracula, charlotte brontë, fantasy, story, characters, themes"
BK007,The Kite Runner,Historical,1985,https://en.wikipedia.org/wiki/The_Kite_Runner,J.R.R. Tolkien,"The Outsiders is a gripping story of class conflict, friendship, and growing up. Written by S.E. Hinton, the novel follows the lives of two rival groups: the Greasers and the Socs. Through the eyes of Ponyboy Curtis, the reader is drawn into the struggles of adolescence, including issues of identity, loyalty, and violence. Hinton’s portrayal of the complexity of youth, and the tension between social classes, makes this novel both compelling and thought-provoking. The Outsiders remains a poignant reminder of the challenges of growing up and the importance of finding one’s place in the world.",627,2.2,"the kite runner, j.r.r. tolkien, historical, kite, runner, story, characters, themes"
BK008,The Great Gatsby,Fiction,1851,https://en.wikipedia.org/wiki/The_Great_Gatsby,Fyodor Dostoevsky,"The Great Gatsby is a mesmerizing portrayal of the American Dream gone awry. F. Scott Fitzgerald’s novel is set in the Jazz Age, a time of excess, decadence, and ambition. The story centers on Jay Gatsby, a mysterious millionaire who throws extravagant parties in the hopes of rekindling a lost romance with Daisy Buchanan. Through the eyes of narrator Nick Carraway, we see the emptiness beneath the glittering facade of wealth and privilege. The novel examines themes of love, class, and the fleeting nature of happiness, with Fitzgerald’s lyrical prose adding to the haunting beauty of the story.",576,2,"the great gatsby, f. scott fitzgerald, jay gatsby, nick carraway, new york, american dream, jazz age, wealth"
BK009,A Wrinkle in Time,Mystery,1990,https://en.wikipedia.org/wiki/A_Wrinkle_in_Time,Harper Lee,"The Secret Garden is a heartwarming novel by Frances Hodgson Burnett that tells the story of Mary Lennox, a spoiled and lonely girl who discovers a hidden, magical garden. As Mary transforms the garden, she also transforms herself and the lives of those around her. The novel is filled with themes of personal growth, friendship, and the healing power of nature. Burnett’s writing is gentle yet powerful, and the story’s message of hope and renewal resonates with readers of all ages. The Secret Garden is a classic tale of redemption and the power of kindness.",380,4.4,"a wrinkle in time, harper lee, mystery, wrinkle, time, story, characters, themes"
BK010,The Shining,Fiction,2009,https://en.wikipedia.org/wiki/The_Shinig,Fyodor Dostoevsky,"The Secret Garden is a heartwarming novel by Frances Hodgson Burnett that tells the story of Mary Lennox, a spoiled and lonely girl who discovers a hidden, magical garden. As Mary transforms the garden, she also transforms herself and the lives of those around her. The novel is filled with themes of personal growth, friendship, and the healing power of nature. Burnett’s writing is gentle yet powerful, and the story’s message of hope and renewal resonates with readers of all ages. The Secret Garden is a classic tale of redemption and the power of kindness.",839,4.9,"the shining, fyodor dostoevsky, fiction, shining, story, characters, themes"
BK011,1984,Horror,1904,https://en.wikipedia.org/wiki/Nineteen_Eighty-Four,J.D. Salinger,"To Kill a Mockingbird is a profound exploration of race, morality, and justice in the American South. Written by Harper Lee, the novel follows young Scout Finch and her brother Jem as they witness their father, Atticus Finch, defend a black man falsely accused of raping a white woman. The story is filled with themes of prejudice, empathy, and the loss of innocence. Lee’s portrayal of the complexities of human nature and the importance of standing up for what is right makes this novel a powerful and enduring classic. The characters are well-drawn, and the themes remain relevant in today’s society.",557,2.6,"1984, george orwell, winston smith, big brother, oceania, surveillance, totalitarianism, rebellion, dystopia"
BK012,Frankenstein,Fiction,1939,https://en.wikipedia.org/wiki/Frankenstein,Leo Tolstoy,"The Great Gatsby is a mesmerizing portrayal of the American Dream gone awry. F. Scott Fitzgerald’s novel is set in the Jazz Age, a time of excess, decadence, and ambition. The story centers on Jay Gatsby, a mysterious millionaire who throws extravagant parties in the hopes of rekindling a lost romance with Daisy Buchanan. Through the eyes of narrator Nick Carraway, we see the emptiness beneath the glittering facade of wealth and privilege. The novel examines themes of love, class, and the fleeting nature of happiness, with Fitzgerald’s lyrical prose adding to the haunting beauty of the story.",727,1.1,"frankenstein, leo tolstoy, fiction, story, characters, themes"
BK013,The Alchemist,Science Fiction,1837,https://en.wikipedia.org/wiki/The_Alchemist_(novel),F. Scott Fitzgerald,"1984 is a chilling depiction of a dystopian society governed by totalitarian rule. George Orwell’s novel is set in a world where the government, represented by Big Brother, exercises absolute control over every aspect of life. The protagonist, Winston Smith, works for the Party but secretly rebels against the oppressive regime. The novel explores themes of surveillance, freedom, and the manipulation of truth, making it eerily relevant in today’s world. Orwell's writing is sharp, engaging, and thought-provoking, and the story is both a warning and a reflection on the dangers of unchecked political power.",769,3.4,"the alchemist, f. scott fitzgerald, science fiction, alchemist, story, characters, themes"
BK014,Lord of the Flies,Fantasy,1993,https://en.wikipedia.org/wiki/Lord_of_the_Flies,J.R.R. Tolkien,"The Secret Garden is a heartwarming novel by Frances Hodgson Burnett that tells the story of Mary Lennox, a spoiled and lonely girl who discovers a hidden, magical garden. As Mary transforms the garden, she also transforms herself and the lives of those around her. The novel is filled with themes of personal growth, friendship, and the healing power of nature. Burnett’s writing is gentle yet powerful, and the story’s message of hope and renewal resonates with readers of all ages. The Secret Garden is a classic tale of redemption and the power of kindness.",315,1.7,"lord of the flies, j.r.r. tolkien, fantasy, lord, flies, story, characters, themes"
BK015,The Shining,Mystery,1864,https://en.wikipedia.org/wiki/The_Shinig,George Orwell,"Pride and Prejudice is a timeless romance novel that deftly explores the intricacies of love, class, and society. Written by Jane Austen, it follows the relationship between the strong-willed Elizabeth Bennet and the aloof Mr. Darcy. The novel is filled with witty dialogue, insightful observations, and memorable characters. Austen masterfully critiques the social norms of the time, particularly regarding marriage and class, while creating a story that still resonates with readers today. Elizabeth and Darcy’s evolving relationship is at the heart of the story, making it an enduring classic of English literature.",743,3.8,"the shining, george orwell, mystery, shining, story, characters, themes"
BK016,Dracula,Romance,1875,https://en.wikipedia.org/wiki/Dracula,J.R.R. Tolkien,"The Outsiders is a gripping story of class conflict, friendship, and growing up. Written by S.E. Hinton, the novel follows the lives of two rival groups: the Greasers and the Socs. Through the eyes of Ponyboy Curtis, the reader is drawn into the struggles of adolescence, including issues of identity, loyalty, and violence. Hinton’s portrayal of the complexity of youth, and the tension between social classes, makes this novel both compelling and thought-provoking. The Outsiders remains a poignant reminder of the challenges of growing up and the importance of finding one’s place in the world.",347,4.9,"dracula, j.r.r. tolkien, romance, story, characters, themes"
BK017,War and Peace,Science Fiction,1958,https://en.wikipedia.org/wiki/War_and_Peace,George Orwell,"The Great Gatsby is a mesmerizing portrayal of the American Dream gone awry. F. Scott Fitzgerald’s novel is set in the Jazz Age, a time of excess, decadence, and ambition. The story centers on Jay Gatsby, a mysterious millionaire who throws extravagant parties in the hopes of rekindling a lost romance with Daisy Buchanan. Through the eyes of narrator Nick Carraway, we see the emptiness beneath the glittering facade of wealth and privilege. The novel examines themes of love, class, and the fleeting nature of happiness, with Fitzgerald’s lyrical prose adding to the haunting beauty of the story.",1032,4.1,"war and peace, george orwell, science fiction, peace, story, characters, themes"
BK018,Ender's Game,Fiction,1990,https://en.wikipedia.org/wiki/Ender%27s_Game,Leo Tolstoy,"To Kill a Mockingbird is a profound exploration of race, morality, and justice in the American South. Written by Harper Lee, the novel follows young Scout Finch and her brother Jem as they witness their father, Atticus Finch, defend a black man falsely accused of raping a white woman. The story is filled with themes of prejudice, empathy, and the loss of innocence. Lee’s portrayal of the complexities of human nature and the importance of standing up for what is right makes this novel a powerful and enduring classic. The characters are well-drawn, and the themes remain relevant in today’s society.",368,5,"ender's game, leo tolstoy, fiction, ender's, game, story, characters, themes"
BK019,War and Peace,Horror,1983,https://en.wikipedia.org/wiki/War_and_Peace,Herman Melville,"The Road is a haunting post-apocalyptic novel by Cormac McCarthy that tells the story of a father and son struggling to survive in a desolate world. The novel is stark, spare, and deeply emotional, with McCarthy’s poetic writing capturing the bleakness of the environment and the deep love between the two characters. The father’s determination to protect his son and their struggle to maintain their humanity in a world devoid of hope form the emotional core of the story. The Road is a powerful meditation on survival, love, and the human spirit.",702,2.6,"war and peace, herman melville, horror, peace, story, characters, themes"
BK020,Murder on the Orient Express,Mystery,1949,https://en.wikipedia.org/wiki/Murder_on_the_Orient_Express,Harper Lee,"The Catcher in the Rye is a powerful coming-of-age novel that captures the struggles of adolescence. Written by J.D. Salinger, the story follows Holden Caulfield, a disillusioned teenager who feels disconnected from the world around him. The novel explores themes of alienation, identity, and the loss of innocence. Holden’s inner turmoil is conveyed with raw emotion, making it a deeply personal and relatable story for many readers. Salinger’s portrayal of the complexity of adolescence remains compelling and relevant, making the novel a touchstone for generations of young readers.",473,1.3,"murder on the orient express, harper lee, mystery, murder, orient, story, characters, themes"
BK021,The Chronicles of Narnia,Horror,1963,https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia,Fyodor Dostoevsky,"The Hobbit is a captivating fantasy novel that takes readers on a journey through the fictional world of Middle-earth. Written by J.R.R. Tolkien, it follows the adventures of Bilbo Baggins, a hobbit who is reluctantly drawn into a quest to reclaim treasure from the dragon Smaug. The novel is filled with vivid descriptions of landscapes, creatures, and mythical beings, making it an immersive read. The characters are richly developed, with Bilbo's transformation from a shy, unassuming hobbit to a courageous hero being particularly compelling. The book also explores themes of bravery, friendship, and the struggle between good and evil. Overall, The Hobbit is a timeless classic that has captivated generations of readers and continues to be a must-read for fantasy enthusiasts.",1014,3.4,"the chronicles of narnia, fyodor dostoevsky, horror, chronicles, narnia, story, characters, themes"
BK022,The Hunger Games,Romance,2012,https://en.wikipedia.org/wiki/The_Hunger_Games,Fyodor Dostoevsky,"The Road is a haunting post-apocalyptic novel by Cormac McCarthy that tells the story of a father and son struggling to survive in a desolate world. The novel is stark, spare, and deeply emotional, with McCarthy’s poetic writing capturing the bleakness of the environment and the deep love between the two characters. The father’s determination to protect his son and their struggle to maintain their humanity in a world devoid of hope form the emotional core of the story. The Road is a powerful meditation on survival, love, and the human spirit.",856,3.5,"the hunger games, fyodor dostoevsky, romance, hunger, games, story, characters, themes"
BK023,The Color Purple,Science Fiction,1825,https://en.wikipedia.org/wiki/The_Color_Purple,Leo Tolstoy,"The Catcher in the Rye is a powerful coming-of-age novel that captures the struggles of adolescence. Written by J.D. Salinger, the story follows Holden Caulfield, a disillusioned teenager who feels disconnected from the world around him. The novel explores themes of alienation, identity, and the loss of innocence. Holden’s inner turmoil is conveyed with raw emotion, making it a deeply personal and relatable story for many readers. Salinger’s portrayal of the complexity of adolescence remains compelling and relevant, making the novel a touchstone for generations of young readers.",1149,3.9,"the color purple, leo tolstoy, science fiction, color, purple, story, characters, themes"
BK024,The Color Purple,Fantasy,2001,https://en.wikipedia.org/wiki/The_Color_Purple,J.R.R. Tolkien,"The Road is a haunting post-apocalyptic novel by Cormac McCarthy that tells the story of a father and son struggling to survive in a desolate world. The novel is stark, spare, and deeply emotional, with McCarthy’s poetic writing capturing the bleakness of the environment and the deep love between the two characters. The father’s determination to protect his son and their struggle to maintain their humanity in a world devoid of hope form the emotional core of the story. The Road is a powerful meditation on survival, love, and the human spirit.",261,1.6,"the color purple, j.r.r. tolkien, fantasy, color, purple, story, characters, themes"
BK025,Ender's Game,Fantasy,1903,https://en.wikipedia.org/wiki/Ender%27s_Game,F. Scott Fitzgerald,"Pride and Prejudice is a timeless romance novel that deftly explores the intricacies of love, class, and society. Written by Jane Austen, it follows the relationship between the strong-willed Elizabeth Bennet and the aloof Mr. Darcy. The novel is filled with witty dialogue, insightful observations, and memorable characters. Austen masterfully critiques the social norms of the time, particularly regarding marriage and class, while creating a story that still resonates with readers today. Elizabeth and Darcy’s evolving relationship is at the heart of the story, making it an enduring classic of English literature.",1021,2,"ender's game, f. scott fitzgerald, fantasy, ender's, game, story, characters, themes"
BK026,A Wrinkle in Time,Fantasy,1833,https://en.wikipedia.org/wiki/A_Wrinkle_in_Time,J.D. Salinger,"Wuthering Heights is a dark and passionate novel that explores the destructive power of love. Written by Emily Brontë, it tells the story of Heathcliff, a brooding and vengeful man, and his obsessive love for Catherine Earnshaw. The novel is filled with intense emotions, and Brontë’s writing conveys the wildness and isolation of the Yorkshire moors. Wuthering Heights explores themes of love, revenge, and the consequences of unchecked passion. The novel’s Gothic atmosphere and complex characters make it a timeless classic that continues to captivate readers.",757,1.4,"a wrinkle in time, j.d. salinger, fantasy, wrinkle, time, story, characters, themes"
BK027,The Maze Runner,Dystopian,1989,https://en.wikipedia.org/wiki/The_Maze_Runner,Harper Lee,"To Kill a Mockingbird is a profound exploration of race, morality, and justice in the American South. Written by Harper Lee, the novel follows young Scout Finch and her brother Jem as they witness their father, Atticus Finch, defend a black man falsely accused of raping a white woman. The story is filled with themes of prejudice, empathy, and the loss of innocence. Lee’s portrayal of the complexities of human nature and the importance of standing up for what is right makes this novel a powerful and enduring classic. The characters are well-drawn, and the themes remain relevant in today’s society.",272,4.5,"the maze runner, harper lee, dystopian, maze, runner, story, characters, themes"
BK028,The Book Thief,Mystery,1901,https://en.wikipedia.org/wiki/The_Book_Thief,J.R.R. Tolkien,"The Hobbit is a captivating fantasy novel that takes readers on a journey through the fictional world of Middle-earth. Written by J.R.R. Tolkien, it follows the adventures of Bilbo Baggins, a hobbit who is reluctantly drawn into a quest to reclaim treasure from the dragon Smaug. The novel is filled with vivid descriptions of landscapes, creatures, and mythical beings, making it an immersive read. The characters are richly developed, with Bilbo's transformation from a shy, unassuming hobbit to a courageous hero being particularly compelling. The book also explores themes of bravery, friendship, and the struggle between good and evil. Overall, The Hobbit is a timeless classic that has captivated generations of readers and continues to be a must-read for fantasy enthusiasts.",470,4.6,"book thief, markus zusak, liesel meminger, nazi germany, world war ii, death narrator, books, resilience"
BK029,The Color Purple,Mystery,2004,https://en.wikipedia.org/wiki/The_Color_Purple,Charlotte Brontë,"The Secret Garden is a heartwarming novel by Frances Hodgson Burnett that tells the story of Mary Lennox, a spoiled and lonely girl who discovers a hidden, magical garden. As Mary transforms the garden, she also transforms herself and the lives of those around her. The novel is filled with themes of personal growth, friendship, and the healing power of nature. Burnett’s writing is gentle yet powerful, and the story’s message of hope and renewal resonates with readers of all ages. The Secret Garden is a classic tale of redemption and the power of kindness.",816,4.9,"the color purple, charlotte brontë, mystery, color, purple, story, characters, themes"
BK030,The Maze Runner,Mystery,1894,https://en.wikipedia.org/wiki/The_Maze_Runner,Harper Lee,"1984 is a chilling depiction of a dystopian society governed by totalitarian rule. George Orwell’s novel is set in a world where the government, represented by Big Brother, exercises absolute control over every aspect of life. The protagonist, Winston Smith, works for the Party but secretly rebels against the oppressive regime. The novel explores themes of surveillance, freedom, and the manipulation of truth, making it eerily relevant in today’s world. Orwell's writing is sharp, engaging, and thought-provoking, and the story is both a warning and a reflection on the dangers of unchecked political power.",162,2,"the maze runner, harper lee, mystery, maze, runner, story, characters, themes"
BK031,Slaughterhouse-Five,Fiction,1925,https://en.wikipedia.org/wiki/Slaughterhouse-Five,Charlotte Brontë,"1984 is a chilling depiction of a dystopian society governed by totalitarian rule. George Orwell’s novel is set in a world where the government, represented by Big Brother, exercises absolute control over every aspect of life. The protagonist, Winston Smith, works for the Party but secretly rebels against the oppressive regime. The novel explores themes of surveillance, freedom, and the manipulation of truth, making it eerily relevant in today’s world. Orwell's writing is sharp, engaging, and thought-provoking, and the story is both a warning and a reflection on the dangers of unchecked political power.",353,2.6,"slaughterhouse-five, charlotte brontë, fiction, story, characters, themes"
BK032,1984,Horror,1829,https://en.wikipedia.org/wiki/Nineteen_Eighty-Four,Herman Melville,"The Catcher in the Rye is a powerful coming-of-age novel that captures the struggles of adolescence. Written by J.D. Salinger, the story follows Holden Caulfield, a disillusioned teenager who feels disconnected from the world around him. The novel explores themes of alienation, identity, and the loss of innocence. Holden’s inner turmoil is conveyed with raw emotion, making it a deeply personal and relatable story for many readers. Salinger’s portrayal of the complexity of adolescence remains compelling and relevant, making the novel a touchstone for generations of young readers.",869,4.5,"1984, george orwell, winston smith, big brother, oceania, surveillance, totalitarianism, rebellion, dystopia"
BK033,The Secret Garden,Fiction,1960,https://en.wikipedia.org/wiki/The_Secret_Garden,Herman Melville,"1984 is a chilling depiction of a dystopian society governed by totalitarian rule. George Orwell’s novel is set in a world where the government, represented by Big Brother, exercises absolute control over every aspect of life. The protagonist, Winston Smith, works for the Party but secretly rebels against the oppressive regime. The novel explores themes of surveillance, freedom, and the manipulation of truth, making it eerily relevant in today’s world. Orwell's writing is sharp, engaging, and thought-provoking, and the story is both a warning and a reflection on the dangers of unchecked political power.",805,1.2,"the secret garden, herman melville, fiction, secret, garden, story, characters, themes"
